timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774490148686,com.spreadwin.tuyun,3.1,524.9,20,0,3.2,0.0,80,4281,28.8,0,0.0,0.0
1774490151545,com.spreadwin.tuyun,3.5,342.8,0,0,0.0,0.0,80,4281,28.8,0,0.0,0.0
1774490153809,com.spreadwin.tuyun,0.0,342.1,0,0,0.0,0.0,80,4281,28.8,0,0.0,0.0
1774490156047,com.spreadwin.tuyun,3.4,342.0,0,0,0.0,0.0,80,4281,28.8,0,0.0,0.0
1774490158358,com.spreadwin.tuyun,0.0,342.0,0,0,0.0,0.0,80,4247,28.7,0,0.0,0.0
1774490160683,com.spreadwin.tuyun,0.0,342.0,0,0,0.0,0.0,81,4274,28.7,0,0.0,0.0
1774490163544,com.spreadwin.tuyun,0.0,342.0,0,0,0.0,0.0,81,4274,28.7,0,0.0,0.0
1774490166150,com.spreadwin.tuyun,85.1,347.2,0,0,0.0,0.0,81,4274,28.7,0,0.0,0.0
1774490169016,com.spreadwin.tuyun,50.0,341.3,59,0,5.8,0.0,81,4274,28.7,0,0.0,0.0
1774490172334,com.spreadwin.tuyun,83.8,339.3,43,1,31.2,0.0,81,4274,28.7,0,0.0,0.0
1774490174976,com.spreadwin.tuyun,55.1,326.3,15,13,74.1,0.0,81,4274,28.7,0,0.0,0.0
1774490178001,com.spreadwin.tuyun,10.0,327.3,3,2,95.7,0.0,81,4274,28.7,0,0.0,0.0
1774490180670,com.spreadwin.tuyun,9.0,326.6,2,1,96.8,0.0,81,4274,28.7,0,0.0,0.0
1774490183628,com.spreadwin.tuyun,18.7,326.2,2,1,96.8,0.0,81,4274,28.7,0,0.0,0.0
1774490186471,com.spreadwin.tuyun,13.3,328.8,9,6,86.9,0.0,81,4274,28.7,0,0.0,0.0
1774490189356,com.spreadwin.tuyun,11.7,326.6,2,1,96.8,0.0,81,4274,28.7,0,0.0,0.0
1774490191960,com.spreadwin.tuyun,51.7,338.8,39,1,37.7,0.0,81,4274,28.7,0,0.0,0.0
1774490194485,com.spreadwin.tuyun,62.9,362.4,8,5,87.3,0.0,81,4274,28.7,0,0.0,0.0
1774490197142,com.spreadwin.tuyun,97.2,361.7,8,7,87.6,0.0,81,4274,28.7,0,0.0,0.0
1774490200050,com.spreadwin.tuyun,153.0,362.0,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490202772,com.spreadwin.tuyun,40.7,362.0,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490205108,com.spreadwin.tuyun,65.6,368.0,14,12,72.4,0.0,81,4251,28.7,0,0.0,0.0
1774490207624,com.spreadwin.tuyun,100.0,372.3,9,8,86.5,0.0,81,4251,28.7,0,0.0,0.0
1774490209933,com.spreadwin.tuyun,60.6,378.0,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490212570,com.spreadwin.tuyun,129.0,376.9,2,1,97.0,0.0,81,4251,28.7,0,0.0,0.0
1774490215176,com.spreadwin.tuyun,126.0,379.7,16,14,75.0,0.0,81,4251,28.7,0,0.0,0.0
1774490217981,com.spreadwin.tuyun,89.2,377.5,3,2,96.0,0.0,81,4251,28.7,0,0.0,0.0
1774490220706,com.spreadwin.tuyun,88.8,377.3,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490223467,com.spreadwin.tuyun,114.0,377.2,2,1,97.0,0.0,81,4251,28.7,0,0.0,0.0
1774490226354,com.spreadwin.tuyun,58.8,377.7,8,7,87.5,0.0,81,4251,28.7,0,0.0,0.0
1774490228981,com.spreadwin.tuyun,114.0,377.1,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490231616,com.spreadwin.tuyun,132.0,379.1,2,1,96.6,0.0,81,4251,28.7,0,0.0,0.0
1774490234329,com.spreadwin.tuyun,81.4,376.6,3,2,95.8,0.0,81,4251,28.7,0,0.0,0.0
1774490237005,com.spreadwin.tuyun,156.0,376.8,10,8,82.3,0.0,81,4251,28.7,0,0.0,0.0
1774490239809,com.spreadwin.tuyun,48.1,377.5,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490242663,com.spreadwin.tuyun,58.0,377.2,2,1,96.7,0.0,81,4251,28.7,0,0.0,0.0
1774490245562,com.spreadwin.tuyun,129.0,378.9,16,15,74.6,0.0,81,4251,28.7,0,0.0,0.0
1774490247964,com.spreadwin.tuyun,125.0,377.6,3,2,95.7,0.0,81,4251,28.7,0,0.0,0.0
1774490250886,com.spreadwin.tuyun,144.0,378.3,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490253687,com.spreadwin.tuyun,132.0,377.1,2,1,96.8,0.0,81,4251,28.7,0,0.0,0.0
1774490256432,com.spreadwin.tuyun,82.1,376.7,8,7,87.5,0.0,81,4251,28.7,0,0.0,0.0
1774490258989,com.spreadwin.tuyun,130.0,379.1,2,1,96.6,0.0,81,4268,29.0,0,0.0,0.0
1774490261792,com.spreadwin.tuyun,55.5,376.5,2,1,96.8,0.0,81,4228,29.2,0,0.0,0.0
1774490264403,com.spreadwin.tuyun,90.3,376.8,7,5,82.9,0.0,81,4228,29.2,0,0.0,0.0
1774490267287,com.spreadwin.tuyun,175.0,377.1,10,9,82.7,0.0,81,4228,29.2,0,0.0,0.0
1774490269733,com.spreadwin.tuyun,58.8,376.5,2,1,96.7,0.0,81,4228,29.2,0,0.0,0.0
1774490272474,com.spreadwin.tuyun,100.0,376.4,2,1,96.7,0.0,81,4228,29.2,0,0.0,0.0
1774490275016,com.spreadwin.tuyun,127.0,378.4,13,12,74.5,0.0,81,4228,29.2,0,0.0,0.0
1774490277547,com.spreadwin.tuyun,92.5,375.9,9,8,86.5,0.0,81,4228,29.2,0,0.0,0.0
1774490280165,com.spreadwin.tuyun,123.0,376.3,3,2,96.7,0.0,81,4228,29.2,0,0.0,0.0
1774490282843,com.spreadwin.tuyun,62.9,376.1,2,1,96.7,0.0,81,4228,29.2,0,0.0,0.0
1774490285647,com.spreadwin.tuyun,86.6,376.4,15,14,75.9,0.0,81,4228,29.2,0,0.0,0.0
1774490288219,com.spreadwin.tuyun,34.4,376.6,3,2,95.6,0.0,81,4228,29.2,0,0.0,0.0
1774490290964,com.spreadwin.tuyun,89.6,376.7,2,1,96.6,0.0,81,4228,29.2,0,0.0,0.0
1774490293855,com.spreadwin.tuyun,66.6,376.2,2,1,96.8,0.0,81,4228,29.2,0,0.0,0.0
1774490296601,com.spreadwin.tuyun,63.8,376.4,9,8,86.4,0.0,81,4241,29.4,0,0.0,0.0
1774490299271,com.spreadwin.tuyun,55.1,376.2,2,1,96.7,0.0,81,4241,29.4,0,0.0,0.0
1774490301817,com.spreadwin.tuyun,102.0,377.5,2,1,96.7,0.0,81,4241,29.4,0,0.0,0.0
1774490304636,com.spreadwin.tuyun,85.1,375.7,7,4,89.1,0.0,81,4241,29.4,0,0.0,0.0
1774490307047,com.spreadwin.tuyun,148.0,375.6,10,9,82.0,0.0,81,4241,29.4,0,0.0,0.0
1774490309689,com.spreadwin.tuyun,85.1,377.6,2,1,96.8,0.0,81,4241,29.4,0,0.0,0.0
1774490312303,com.spreadwin.tuyun,145.0,376.9,2,1,96.8,0.0,81,4241,29.4,0,0.0,0.0
1774490315123,com.spreadwin.tuyun,160.0,376.5,14,13,78.0,0.0,81,4241,29.4,0,0.0,0.0
1774490317599,com.spreadwin.tuyun,110.0,376.7,3,2,95.8,0.0,81,4241,29.4,0,0.0,0.0
1774490320667,com.spreadwin.tuyun,118.0,376.9,2,1,97.0,0.0,81,4262,29.5,0,0.0,0.0
1774490323360,com.spreadwin.tuyun,129.0,376.7,2,1,96.8,0.0,81,4262,29.5,0,0.0,0.0
1774490326230,com.spreadwin.tuyun,125.0,376.3,11,10,82.2,0.0,81,4262,29.5,0,0.0,0.0
1774490328773,com.spreadwin.tuyun,81.0,375.9,2,1,96.9,0.0,81,4262,29.5,0,0.0,0.0
1774490331514,com.spreadwin.tuyun,135.0,376.5,2,1,96.7,0.0,81,4262,29.5,0,0.0,0.0
1774490334278,com.spreadwin.tuyun,122.0,377.3,5,3,92.3,0.0,81,4262,29.5,0,0.0,0.0
1774490337066,com.spreadwin.tuyun,80.0,376.3,10,9,81.7,0.0,81,4262,29.5,0,0.0,0.0
1774490339595,com.spreadwin.tuyun,106.0,377.1,2,1,96.8,0.0,81,4262,29.5,0,0.0,0.0
1774490342561,com.spreadwin.tuyun,132.0,377.1,2,1,96.8,0.0,81,4262,29.5,0,0.0,0.0
1774490345274,com.spreadwin.tuyun,125.0,376.3,16,15,74.2,0.0,81,4262,29.5,0,0.0,0.0
1774490347760,com.spreadwin.tuyun,112.0,375.9,9,8,86.2,0.0,81,4262,29.5,0,0.0,0.0
1774490350378,com.spreadwin.tuyun,82.3,375.8,2,1,96.6,0.0,81,4262,29.5,0,0.0,0.0
1774490353169,com.spreadwin.tuyun,129.0,376.0,2,1,96.7,0.0,81,4262,29.5,0,0.0,0.0
1774490355861,com.spreadwin.tuyun,136.0,376.1,14,13,77.4,0.0,81,4262,29.5,0,0.0,0.0
1774490358458,com.spreadwin.tuyun,162.0,376.9,2,1,96.8,0.0,81,4262,29.5,0,0.0,0.0
1774490361124,com.spreadwin.tuyun,113.0,377.5,2,1,96.8,0.0,81,4268,29.7,0,0.0,0.0
1774490363851,com.spreadwin.tuyun,118.0,377.0,2,1,96.7,0.0,81,4268,29.7,0,0.0,0.0
1774490366356,com.spreadwin.tuyun,79.3,376.5,9,8,86.0,0.0,81,4268,29.7,0,0.0,0.0
1774490369025,com.spreadwin.tuyun,170.0,377.0,2,1,96.8,0.0,81,4268,29.7,0,0.0,0.0
1774490371846,com.spreadwin.tuyun,77.7,376.9,2,1,96.7,0.0,81,4268,29.7,0,0.0,0.0
1774490374290,com.spreadwin.tuyun,97.3,377.2,7,6,89.6,0.0,81,4268,29.7,0,0.0,0.0
1774490377159,com.spreadwin.tuyun,170.0,377.2,10,9,83.4,0.0,81,4268,29.7,0,0.0,0.0
1774490379862,com.spreadwin.tuyun,59.2,379.3,2,1,96.8,0.0,81,4271,29.9,0,0.0,0.0
1774490382345,com.spreadwin.tuyun,128.0,377.6,2,1,96.8,0.0,81,4271,29.9,0,0.0,0.0
1774490385102,com.spreadwin.tuyun,83.3,376.9,14,12,72.9,0.0,81,4271,29.9,0,0.0,0.0
1774490387703,com.spreadwin.tuyun,77.7,378.9,9,8,86.4,0.0,81,4271,29.9,0,0.0,0.0
1774490390124,com.spreadwin.tuyun,100.0,376.4,2,1,96.8,0.0,81,4271,29.9,0,0.0,0.0
1774490392989,com.spreadwin.tuyun,125.0,376.9,2,1,97.0,0.0,81,4271,29.9,0,0.0,0.0
1774490395707,com.spreadwin.tuyun,77.4,378.9,15,14,76.6,0.0,81,4271,29.9,0,0.0,0.0
1774490398321,com.spreadwin.tuyun,156.0,377.6,3,2,95.6,0.0,81,4271,29.9,0,0.0,0.0
1774490401114,com.spreadwin.tuyun,133.0,377.6,2,1,96.7,0.0,81,4271,29.9,0,0.0,0.0
1774490403915,com.spreadwin.tuyun,137.0,377.5,2,1,96.7,0.0,81,4271,29.9,0,0.0,0.0
1774490406557,com.spreadwin.tuyun,70.3,379.1,9,7,86.5,0.0,81,4271,29.9,0,0.0,0.0
1774490409089,com.spreadwin.tuyun,92.5,376.9,2,1,96.7,0.0,81,4271,29.9,0,0.0,0.0
1774490411714,com.spreadwin.tuyun,127.0,379.3,2,1,96.8,0.0,81,4271,29.9,0,0.0,0.0
1774490414545,com.spreadwin.tuyun,111.0,376.9,4,3,94.1,0.0,81,4271,29.9,0,0.0,0.0
1774490416757,com.spreadwin.tuyun,64.2,376.3,9,8,86.2,0.0,81,4271,29.9,0,0.0,0.0
1774490418996,com.spreadwin.tuyun,157.0,377.0,2,1,96.7,0.0,81,4271,29.9,0,0.0,0.0
1774490421672,com.spreadwin.tuyun,96.5,378.9,2,1,96.7,0.0,81,4261,30.2,0,0.0,0.0
