timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774577696472,com.spreadwin.live.pro,103.0,978.6,20,14,69.7,0.0,57,4122,30.3,0,0.0,0.0
1774577699651,com.spreadwin.live.pro,16.1,889.7,3,2,96.7,0.0,57,4122,30.3,0,0.0,0.0
1774577702495,com.spreadwin.live.pro,18.7,881.4,2,1,96.7,0.0,57,4122,30.3,0,0.0,0.0
1774577705379,com.spreadwin.live.pro,24.2,915.7,9,3,83.5,0.0,57,4122,30.3,0,0.0,0.0
1774577708148,com.spreadwin.live.pro,53.3,882.6,8,7,87.5,0.0,57,4122,30.3,0,0.0,0.0
1774577711028,com.spreadwin.live.pro,35.4,880.3,2,1,96.8,0.0,57,4122,30.3,0,0.0,0.0
1774577713913,com.spreadwin.live.pro,27.2,879.8,2,1,96.9,0.0,57,4122,30.3,0,0.0,0.0
1774577716840,com.spreadwin.live.pro,82.7,907.7,21,14,67.4,0.0,57,4122,30.3,0,0.0,0.0
1774577719532,com.spreadwin.live.pro,22.2,883.6,3,2,95.6,0.0,57,4122,30.3,0,0.0,0.0
1774577722351,com.spreadwin.live.pro,22.5,879.3,2,1,96.8,0.0,57,4122,30.3,0,0.0,0.0
1774577725121,com.spreadwin.live.pro,29.4,879.4,2,1,96.7,0.0,57,4122,30.3,0,0.0,0.0
1774577727786,com.spreadwin.live.pro,48.1,887.0,18,13,71.0,0.0,57,4122,30.3,0,0.0,0.0
1774577730496,com.spreadwin.live.pro,25.8,881.5,2,1,96.6,0.0,57,4122,30.3,0,0.0,0.0
1774577733346,com.spreadwin.live.pro,22.5,880.9,2,1,96.6,0.0,57,4122,30.3,0,0.0,0.0
1774577736127,com.spreadwin.live.pro,82.1,903.5,13,8,79.2,0.0,57,4122,31.5,0,0.0,0.0
1774577738558,com.spreadwin.live.pro,36.6,884.1,8,7,87.8,0.0,57,4122,31.5,0,0.0,0.0
1774577741751,com.spreadwin.live.pro,45.4,883.0,2,1,96.8,0.0,57,4122,31.5,0,0.0,0.0
1774577744632,com.spreadwin.live.pro,29.4,880.7,2,1,97.0,0.0,57,4122,31.5,0,0.0,0.0
1774577747478,com.spreadwin.live.pro,51.7,887.0,17,14,73.6,0.0,57,4122,31.5,0,0.0,0.0
1774577750199,com.spreadwin.live.pro,8.5,882.0,2,1,97.0,0.0,57,4122,31.5,0,0.0,0.0
1774577753215,com.spreadwin.live.pro,6.0,883.2,2,1,96.7,0.0,58,4131,30.6,0,0.0,0.0
1774577756009,com.spreadwin.live.pro,100.0,886.3,15,9,71.7,0.0,58,4121,31.5,0,0.0,0.0
1774577758705,com.spreadwin.live.pro,25.8,890.7,8,7,87.5,0.0,58,4121,31.5,0,0.0,0.0
1774577761747,com.spreadwin.live.pro,21.8,886.6,2,1,96.7,0.0,58,4121,31.5,0,0.0,0.0
1774577764598,com.spreadwin.live.pro,31.2,886.8,2,1,96.8,0.0,58,4121,31.5,0,0.0,0.0
1774577767241,com.spreadwin.live.pro,50.0,913.7,18,13,72.2,0.0,58,4121,31.5,0,0.0,0.0
1774577769848,com.spreadwin.live.pro,17.5,887.3,2,1,96.8,0.0,58,4121,31.5,0,0.0,0.0
1774577772876,com.spreadwin.live.pro,28.5,881.3,2,1,96.8,0.0,58,4121,31.5,0,0.0,0.0
1774577775606,com.spreadwin.live.pro,25.7,900.4,8,3,88.6,0.0,58,4121,31.5,0,0.0,0.0
1774577778197,com.spreadwin.live.pro,72.4,886.1,11,10,82.7,0.0,58,4121,31.5,0,0.0,0.0
1774577781238,com.spreadwin.live.pro,40.6,881.1,2,1,96.7,0.0,58,4121,31.5,0,0.0,0.0
1774577784205,com.spreadwin.live.pro,30.3,879.6,2,1,97.0,0.0,58,4121,31.5,0,0.0,0.0
1774577787081,com.spreadwin.live.pro,107.0,894.9,22,13,63.5,0.0,58,4121,31.5,0,0.0,0.0
1774577789758,com.spreadwin.live.pro,3.0,882.2,2,1,96.7,0.0,58,4121,31.5,0,0.0,0.0
1774577792507,com.spreadwin.live.pro,32.2,883.7,2,1,97.0,0.0,58,4119,31.8,0,0.0,0.0
1774577795430,com.spreadwin.live.pro,6.2,901.8,7,2,88.0,0.0,58,4119,31.8,0,0.0,0.0
1774577798079,com.spreadwin.live.pro,70.3,885.8,14,13,76.9,0.0,58,4119,31.8,0,0.0,0.0
1774577800848,com.spreadwin.live.pro,29.0,885.9,2,1,96.8,0.0,58,4119,31.8,0,0.0,0.0
1774577803592,com.spreadwin.live.pro,3.2,881.3,2,1,96.8,0.0,58,4119,31.8,0,0.0,0.0
1774577806473,com.spreadwin.live.pro,100.0,882.2,16,14,73.6,0.0,58,4119,31.8,0,0.0,0.0
1774577809107,com.spreadwin.live.pro,29.0,882.9,3,2,95.8,0.0,58,4119,31.8,0,0.0,0.0
1774577812074,com.spreadwin.live.pro,23.5,880.4,2,1,96.8,0.0,58,4142,30.7,0,0.0,0.0
1774577814934,com.spreadwin.live.pro,3.1,880.2,2,1,97.0,0.0,58,4145,30.9,0,0.0,0.0
1774577817482,com.spreadwin.live.pro,22.5,925.8,14,8,78.8,0.0,58,4145,30.9,0,0.0,0.0
1774577820174,com.spreadwin.live.pro,25.8,884.7,3,2,95.8,0.0,58,4145,30.9,0,0.0,0.0
1774577822957,com.spreadwin.live.pro,11.7,880.3,2,1,96.7,0.0,58,4145,30.9,0,0.0,0.0
1774577825774,com.spreadwin.live.pro,77.4,884.8,11,3,78.5,0.0,58,4145,30.9,0,0.0,0.0
1774577828306,com.spreadwin.live.pro,56.6,886.4,9,8,86.6,0.0,58,4145,30.9,0,0.0,0.0
