timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774402006484,com.spreadwin.tuyun,3.7,317.9,20,0,3.3,0.0,68,4159,26.9,0,0.0,0.0
1774402010653,com.spreadwin.tuyun,0.0,317.9,0,0,0.0,0.0,68,4161,27.1,0,0.0,0.0
1774402014544,com.spreadwin.tuyun,3.1,317.9,0,0,0.0,0.0,68,4161,27.1,0,0.0,0.0
1774402018434,com.spreadwin.tuyun,0.0,317.9,0,0,0.0,0.0,68,4161,27.1,0,0.0,0.0
1774402022260,com.spreadwin.tuyun,3.2,317.9,0,0,0.0,0.0,68,4161,27.1,0,0.0,0.0
1774402026317,com.spreadwin.tuyun,67.7,344.4,27,1,18.6,0.0,68,4161,27.1,0,0.0,0.0
1774402029805,com.spreadwin.tuyun,2.9,339.7,28,2,28.5,0.0,68,4157,27.0,0,0.0,0.0
1774402033746,com.spreadwin.tuyun,0.0,339.7,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402037303,com.spreadwin.tuyun,6.8,340.4,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402041211,com.spreadwin.tuyun,3.2,338.8,28,0,5.8,0.0,68,4135,27.0,0,0.0,0.0
1774402045089,com.spreadwin.tuyun,2.8,338.8,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402048869,com.spreadwin.tuyun,3.4,338.3,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402052572,com.spreadwin.tuyun,0.0,338.3,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402056354,com.spreadwin.tuyun,3.0,338.8,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
1774402060358,com.spreadwin.tuyun,0.0,338.8,0,0,0.0,0.0,68,4135,27.0,0,0.0,0.0
