timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774577167325,com.spreadwin.live.pro,38.7,1143.8,14,13,77.2,0.0,53,4014,29.7,0,0.0,0.0
1774577170605,com.spreadwin.live.pro,29.0,854.1,2,1,96.8,0.0,53,4014,29.7,0,0.0,0.0
1774577173461,com.spreadwin.live.pro,28.5,853.5,2,1,97.0,0.0,53,4047,28.6,0,0.0,0.0
1774577176413,com.spreadwin.live.pro,150.0,896.2,25,12,61.9,0.0,53,4047,28.6,0,0.0,0.0
1774577178958,com.spreadwin.live.pro,132.0,858.0,3,2,95.6,0.0,53,4047,28.6,0,0.0,0.0
1774577181616,com.spreadwin.live.pro,165.0,891.5,2,1,96.7,0.0,53,4041,28.7,0,0.0,0.0
1774577184215,com.spreadwin.live.pro,77.4,907.5,2,1,96.7,0.0,53,4046,28.7,0,0.0,0.0
1774577187034,com.spreadwin.live.pro,140.0,890.2,23,13,62.1,0.0,53,4046,28.7,0,0.0,0.0
1774577189718,com.spreadwin.live.pro,96.8,888.2,2,1,96.8,0.0,53,4018,29.7,0,0.0,0.0
1774577192782,com.spreadwin.live.pro,74.1,907.1,2,1,96.8,0.0,53,4035,29.8,0,0.0,0.0
1774577195571,com.spreadwin.live.pro,96.6,920.9,11,3,77.5,0.0,53,4035,29.8,0,0.0,0.0
1774577198502,com.spreadwin.live.pro,106.0,903.2,11,10,82.8,0.0,53,4035,29.8,0,0.0,0.0
1774577201223,com.spreadwin.live.pro,83.8,890.2,2,1,96.7,0.0,53,4035,29.8,0,0.0,0.0
1774577204152,com.spreadwin.live.pro,77.4,892.1,2,1,96.6,0.0,53,4035,29.8,0,0.0,0.0
1774577206941,com.spreadwin.live.pro,96.5,894.1,21,13,66.2,0.0,53,4035,29.8,0,0.0,0.0
1774577209476,com.spreadwin.live.pro,85.1,893.3,2,1,96.7,0.0,53,4035,29.8,0,0.0,0.0
1774577212256,com.spreadwin.live.pro,77.4,895.4,2,1,96.5,0.0,53,4048,28.9,0,0.0,0.0
1774577214942,com.spreadwin.live.pro,45.1,904.0,2,1,96.9,0.0,53,4029,29.8,0,0.0,0.0
1774577217727,com.spreadwin.live.pro,133.0,898.3,18,14,71.4,0.0,53,4029,29.8,0,0.0,0.0
1774577220438,com.spreadwin.live.pro,96.7,897.3,2,1,96.8,0.0,53,4029,29.8,0,0.0,0.0
1774577223412,com.spreadwin.live.pro,87.0,898.1,2,1,96.6,0.0,53,4029,29.8,0,0.0,0.0
1774577226148,com.spreadwin.live.pro,139.0,901.7,20,12,68.0,0.0,53,4029,29.8,0,0.0,0.0
1774577228944,com.spreadwin.live.pro,72.2,912.4,3,2,96.3,0.0,53,4029,29.8,0,0.0,0.0
1774577231953,com.spreadwin.live.pro,158.0,900.8,2,1,96.7,0.0,53,4053,29.0,0,0.0,0.0
1774577235063,com.spreadwin.live.pro,86.6,899.5,2,1,96.7,0.0,53,4053,29.0,0,0.0,0.0
1774577237984,com.spreadwin.live.pro,122.0,900.9,13,10,79.9,0.0,53,4053,29.0,0,0.0,0.0
1774577240904,com.spreadwin.live.pro,96.7,899.3,2,1,96.8,0.0,53,4039,30.0,0,0.0,0.0
1774577243649,com.spreadwin.live.pro,80.6,899.4,2,1,96.7,0.0,53,4055,29.0,0,0.0,0.0
1774577246408,com.spreadwin.live.pro,132.0,891.0,16,15,74.6,0.0,53,4055,29.0,0,0.0,0.0
1774577249160,com.spreadwin.live.pro,100.0,892.9,3,2,95.7,0.0,53,4055,29.0,0,0.0,0.0
1774577252083,com.spreadwin.live.pro,125.0,894.1,2,1,96.9,0.0,53,4065,29.1,0,0.0,0.0
1774577254866,com.spreadwin.live.pro,87.0,895.2,2,1,96.7,0.0,53,4065,29.1,0,0.0,0.0
1774577257607,com.spreadwin.live.pro,153.0,896.0,18,12,71.0,0.0,53,4065,29.1,0,0.0,0.0
1774577260454,com.spreadwin.live.pro,115.5,893.7,2,1,96.8,0.0,53,4065,29.1,0,0.0,0.0
1774577263206,com.spreadwin.live.pro,100.0,895.6,2,1,96.8,0.0,53,4065,29.1,0,0.0,0.0
1774577265928,com.spreadwin.live.pro,154.0,903.5,17,9,70.3,0.0,53,4065,29.1,0,0.0,0.0
