timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1772765074275,com.spreadwin.tuyun,0.0,288.8,0,0,0.0,12.4,4,3716,27.0,0,0.0,0.0
1772765077569,com.spreadwin.tuyun,0.0,281.1,0,0,0.0,0.0,4,3716,27.0,0,1.8,0.0
1772765080577,com.spreadwin.tuyun,0.0,299.8,1,0,0.0,14.6,4,3687,27.0,0,0.6,0.0
1772765083520,com.spreadwin.tuyun,3.7,300.8,0,0,0.0,0.0,4,3687,27.0,0,0.7,0.4
1772765085624,com.spreadwin.tuyun,3.7,300.8,0,0,0.0,0.0,4,3710,27.0,0,0.1,0.0
1772765087744,com.spreadwin.tuyun,3.7,300.3,0,0,0.0,0.0,4,3710,27.0,0,0.0,0.0
1772765089846,com.spreadwin.tuyun,0.0,300.4,0,0,0.0,0.0,4,3715,27.1,0,0.8,0.0
1772765092197,com.spreadwin.tuyun,3.7,365.1,29,1,17.5,0.0,4,3715,27.1,0,0.3,0.0
1772765094658,com.spreadwin.tuyun,0.0,364.3,0,0,0.0,0.0,4,3717,27.1,0,0.3,0.0
1772765097079,com.spreadwin.tuyun,3.7,364.2,0,0,0.0,0.0,4,3717,27.1,0,0.3,0.0
1772765099419,com.spreadwin.tuyun,0.0,364.2,0,0,0.0,0.0,4,3717,27.1,0,1.1,0.0
1772765101780,com.spreadwin.tuyun,0.0,364.1,0,0,0.0,0.0,4,3717,27.1,0,0.3,0.0
1772765104118,com.spreadwin.tuyun,3.7,364.1,0,0,0.0,0.0,4,3717,27.1,0,0.5,0.0
1772765106437,com.spreadwin.tuyun,0.0,364.1,1,0,0.0,0.0,4,3715,27.1,0,3.1,0.0
1772765109702,com.spreadwin.tuyun,0.0,339.2,0,0,0.0,0.0,4,3715,27.1,0,0.3,0.0
1772765112177,com.spreadwin.tuyun,3.5,339.1,0,0,0.0,0.0,4,3715,27.1,0,0.6,0.0
1772765114538,com.spreadwin.tuyun,3.7,338.1,0,0,0.0,0.0,4,3715,27.1,0,0.3,0.0
1772765116904,com.spreadwin.tuyun,0.0,338.1,0,0,0.0,0.0,4,3714,27.1,0,0.7,0.0
1772765119256,com.spreadwin.tuyun,3.5,338.1,0,0,0.0,0.0,4,3714,27.1,0,1.4,0.0
1772765121638,com.spreadwin.tuyun,0.0,337.1,29,0,5.4,11.5,4,3714,27.1,0,2.9,0.6
1772765124978,com.spreadwin.tuyun,0.0,337.3,0,0,0.0,0.0,4,3712,27.1,0,0.9,0.0
1772765127379,com.spreadwin.tuyun,0.0,334.3,0,0,0.0,0.0,4,3712,27.1,0,0.6,0.0
